,total_return,annual_return,annual_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,n_trades,hit_rate,avg_win,avg_loss,profit_factor,avg_hold_days,avg_pnl_pct,total_costs,var_95,cvar_95,turnover,alpha,beta,r2
signal_zscore_vol_bb_gated,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
signal_macd,-0.2163,-0.0413,0.2798,-0.1858,-0.2575,-0.1016,-0.4059,-0.2177,1112.0,108.0,0.3981,4809.8566,-2973.4467,1.0701,10.5093,-0.0,17191.2056,-0.0245,-0.0445,18.6667,0.0,1.0,0.0
signal_rsi,-0.1702,-0.0317,0.2243,-0.2506,-0.3708,-0.0832,-0.3816,-0.1505,771.0,40.0,0.475,2973.993,-5966.0164,0.451,15.275,-0.0074,6608.6227,-0.0189,-0.0371,6.9136,0.0,1.0,0.0
signal_zscore,-0.4628,-0.1018,0.2641,-0.4601,-0.6527,-0.2078,-0.4901,-0.2983,1395.0,28.0,0.5,2942.0576,-6353.2112,0.4631,19.4643,-0.0123,4192.863,-0.0214,-0.044,4.8395,0.0,1.0,0.0
signal_ensemble,-0.5916,-0.1434,0.1921,-0.9636,-1.3405,-0.2294,-0.6252,-0.4723,1395.0,88.0,0.0909,5042.8999,-946.1799,0.533,13.8523,-0.001,13994.2705,-0.0116,-0.0314,15.2099,0.0,1.0,0.0
signal_adaptive,-0.2991,-0.0596,0.1059,-0.9881,-1.2967,-0.1746,-0.3411,-0.166,1327.0,123.0,0.4228,1338.3079,-1286.4874,0.7619,6.9512,-0.003,9075.2965,-0.0112,-0.018,21.2593,0.0,1.0,0.0
signal_trend_pool,0.0683,0.0115,0.0349,-1.0552,-1.6549,0.3042,-0.0377,-0.0138,1220.0,4.0,0.5,4579.4147,-1866.9304,2.4529,7.5,0.013,455.8029,0.0,-0.0001,0.6914,0.0,1.0,0.0
signal_macd_trend_gated,0.0663,0.0112,0.0348,-1.0644,-1.6695,0.2959,-0.0377,-0.014,1220.0,3.0,0.6667,4579.4147,-3659.5247,2.5027,9.6667,0.0183,420.2123,-0.0,-0.0001,0.5185,0.0,1.0,0.0
signal_regime_adaptive,0.0479,0.0081,0.0356,-1.1245,-1.7107,0.2152,-0.0377,-0.0188,1220.0,5.0,0.4,4579.4147,-1855.248,1.6456,6.2,0.0086,732.6212,0.0,-0.0001,0.8642,0.0,1.0,0.0
signal_bb,-0.0478,-0.0084,0.0304,-1.8712,-3.2334,-0.0873,-0.0967,-0.0335,995.0,29.0,0.3103,1563.3949,-942.2548,0.7466,1.0345,-0.0019,5961.5054,0.0,-0.0001,5.0123,0.0,1.0,0.0
signal_rsi_vol_trend_gated,-0.0204,-0.0035,0.0079,-6.614,-6.614,-0.1743,-0.0204,-0.0204,333.0,1.0,0.0,0.0,-1831.8833,0.0,1.0,-0.0093,276.8183,0.0,-0.0,0.1728,0.0,1.0,0.0
signal_mr_pool,-0.0204,-0.0035,0.0079,-6.614,-6.614,-0.1743,-0.0204,-0.0204,333.0,1.0,0.0,0.0,-1831.8833,0.0,1.0,-0.0093,276.8183,0.0,-0.0,0.1728,0.0,1.0,0.0
signal_bb_breakout_gated,0.0019,0.0003,0.0009,-55.2526,-655.6985,1.8697,-0.0002,-0.0002,93.0,1.0,0.0,0.0,-74.3361,0.0,1.0,-0.0029,35.5907,0.0,-0.0,0.1728,0.0,1.0,0.0
