,alpha_annual,beta_mkt,r2,regime
2021-06-28,,,,range_bound
2021-06-29,,,,range_bound
2021-06-30,,,,range_bound
2021-07-01,,,,range_bound
2021-07-02,,,,range_bound
2021-07-06,,,,range_bound
2021-07-07,,,,range_bound
2021-07-08,,,,range_bound
2021-07-09,,,,range_bound
2021-07-12,,,,range_bound
2021-07-13,,,,range_bound
2021-07-14,,,,range_bound
2021-07-15,,,,range_bound
2021-07-16,,,,range_bound
2021-07-19,,,,range_bound
2021-07-20,,,,range_bound
2021-07-21,,,,range_bound
2021-07-22,,,,range_bound
2021-07-23,,,,range_bound
2021-07-26,,,,range_bound
2021-07-27,,,,range_bound
2021-07-28,,,,range_bound
2021-07-29,,,,range_bound
2021-07-30,,,,range_bound
2021-08-02,,,,range_bound
2021-08-03,,,,range_bound
2021-08-04,,,,range_bound
2021-08-05,,,,range_bound
2021-08-06,,,,range_bound
2021-08-16,,,,range_bound
2021-08-19,,,,range_bound
2021-08-20,,,,range_bound
2021-08-23,,,,range_bound
2021-08-24,,,,range_bound
2021-08-25,,,,range_bound
2021-08-26,,,,range_bound
2021-08-27,,,,range_bound
2021-08-30,,,,range_bound
2021-09-08,,,,range_bound
2021-09-09,,,,range_bound
2021-09-10,,,,range_bound
2021-09-13,,,,range_bound
2021-09-14,,,,range_bound
2021-09-15,,,,range_bound
2021-09-16,,,,range_bound
2021-09-17,,,,range_bound
2021-09-20,,,,range_bound
2021-09-29,,,,range_bound
2021-09-30,,,,range_bound
2021-10-01,,,,range_bound
2021-10-04,,,,range_bound
2021-10-05,,,,range_bound
2021-10-06,,,,range_bound
2021-10-07,,,,range_bound
2021-10-08,,,,range_bound
2021-10-11,,,,range_bound
2021-10-12,,,,range_bound
2021-10-13,,,,range_bound
2021-10-14,,,,range_bound
2021-10-15,,,,range_bound
2021-10-18,,,,range_bound
2021-10-19,,,,range_bound
2021-10-20,,,,trending_up
2021-10-21,,,,trending_up
2021-10-22,,,,range_bound
2021-10-25,,,,trending_up
2021-10-26,,,,range_bound
2021-10-27,,,,range_bound
2021-10-28,,,,range_bound
2021-10-29,,,,range_bound
2021-11-01,,,,trending_up
2021-11-02,,,,trending_up
2021-11-03,,,,trending_up
2021-11-04,,,,trending_up
2021-11-05,,,,trending_up
2021-11-08,,,,trending_up
2021-11-09,,,,trending_up
2021-11-10,,,,trending_up
2021-11-11,,,,trending_up
2021-11-12,,,,trending_up
2021-11-15,,,,trending_up
2021-11-16,,,,trending_up
2021-11-17,,,,trending_up
2021-11-18,,,,trending_up
2021-11-19,,,,trending_up
2021-11-22,,,,trending_up
2021-11-23,,,,trending_up
2021-11-24,,,,trending_up
2021-11-26,,,,range_bound
2021-11-29,,,,range_bound
2021-11-30,,,,range_bound
2021-12-01,,,,range_bound
2021-12-02,,,,range_bound
2021-12-03,,,,range_bound
2021-12-06,,,,range_bound
2021-12-07,,,,range_bound
2021-12-08,,,,range_bound
2021-12-09,,,,range_bound
2021-12-10,,,,range_bound
2021-12-13,,,,range_bound
2021-12-14,,,,range_bound
2021-12-15,,,,range_bound
2021-12-16,,,,range_bound
2021-12-17,,,,range_bound
2021-12-20,,,,range_bound
2021-12-21,,,,range_bound
2021-12-22,,,,range_bound
2021-12-23,,,,range_bound
2021-12-27,,,,trending_up
2021-12-28,,,,trending_up
2021-12-29,,,,trending_up
2021-12-30,,,,trending_up
2021-12-31,,,,trending_up
2022-01-03,,,,trending_up
2022-01-04,,,,trending_up
2022-01-05,,,,trending_up
2022-01-06,,,,range_bound
2022-01-24,,,,trending_up
2022-01-25,,,,range_bound
2022-01-26,,,,range_bound
2022-01-27,,,,range_bound
2022-01-28,,,,range_bound
2022-01-31,,,,trending_up
2022-02-01,,,,trending_up
2022-02-02,,,,trending_up
2022-02-03,,,,range_bound
2022-02-04,-0.10126412667299,0.00046013290414058893,3.5301499299089656e-05,range_bound
2022-02-07,-0.10126681828892248,0.0005192596078329853,4.5014093817408174e-05,range_bound
2022-02-08,-0.1011776418204351,0.0004325807966944672,3.1293355912231924e-05,range_bound
2022-02-09,-0.10120584604809024,0.000590570450509274,5.8642722611690346e-05,trending_up
2022-02-10,-0.10128703653969429,0.000750142733257229,9.627621436958389e-05,range_bound
2022-02-11,-0.10132041042747908,0.00033897752996327223,2.033367116704987e-05,range_bound
2022-02-14,-0.10131951978603426,9.332223228200323e-05,1.6071678763385222e-06,range_bound
2022-02-15,-0.10123905615549611,-3.544202952618871e-05,2.3196756127052964e-07,range_bound
2022-02-16,-0.10133071306331332,0.0004526382347501426,3.839090501889242e-05,range_bound
2022-02-17,-0.10126808457135428,0.00033297860871263563,2.0584752695840258e-05,range_bound
2022-02-18,-0.1011898400477298,-0.00016753287195396261,5.456071776932525e-06,range_bound
2022-02-22,-0.10117516175317409,-0.0002284006310665146,1.0173092045429044e-05,range_bound
2022-02-23,-0.10222751673803154,0.0001583020117527096,4.934947944401635e-06,range_bound
2022-02-24,-0.10220382394987204,0.00011806184800113084,2.824826472735964e-06,range_bound
2022-02-25,-0.10282442392050273,0.00010427348491750973,2.2317691208417756e-06,range_bound
2022-02-28,-0.1029212243628208,0.0006800006206864587,9.664889025706724e-05,range_bound
2022-03-01,-0.10234397926040018,0.0007461302891107306,0.00011459693499216161,range_bound
2022-03-02,-0.10163946166524918,0.0005446984909161073,6.212295462515449e-05,range_bound
2022-03-03,-0.10171448852322007,0.0007105334253775478,0.00010854657281234026,range_bound
2022-03-04,-0.10178214399195573,0.0005071505529101579,5.504247859056122e-05,range_bound
2022-03-07,-0.10416415122315958,0.001259149939649519,0.0003346243292454698,range_bound
2022-03-08,-0.10409566933329806,0.000761344681033853,0.00013125707250816188,range_bound
2022-03-15,-0.10411782256916924,0.0007167876339799019,0.00011691307680283813,range_bound
2022-03-16,-0.1046013092579603,0.00042736004617933277,4.301566187436823e-05,range_bound
2022-03-17,-0.10485001330153132,0.0006365894848008463,9.86378085373607e-05,range_bound
2022-03-18,-0.10505150069577385,0.0007900069746897061,0.00015344364361580265,range_bound
2022-03-21,-0.10521976249345655,0.0007637542166773361,0.00014400672068692888,range_bound
2022-03-22,-0.10507463150321128,0.0008036771231919024,0.0001590042378510903,range_bound
2022-03-23,-0.10439852940925587,0.001026666840261779,0.0002611632369471373,range_bound
2022-03-24,-0.10442764400858184,0.0008300750826874065,0.00017305453903426748,range_bound
2022-03-25,-0.1046849875792818,0.0008745054362993822,0.00019492039526314286,range_bound
2022-03-28,-0.10082245163107817,0.000989891986231402,0.00027103958062246747,range_bound
2022-04-07,-0.10081381656499744,0.0009802097397124832,0.000265550283375271,range_bound
2022-04-08,-0.10272956437155789,0.0006101699701689309,0.0001011061760367582,range_bound
2022-04-27,-0.1027096991258829,0.0005478686778101538,8.157804772057631e-05,range_bound
2022-04-28,-0.10378968563198232,0.00046796611279135893,5.9226891493402434e-05,range_bound
2022-04-29,-0.10368717101054425,0.0008575585572144622,0.00020626811787138877,range_bound
2022-05-02,-0.10417692340765428,0.0009002809918438574,0.0002483405124454885,range_bound
2022-05-03,-0.10410927204847009,0.0009305696647538952,0.0002654871674580006,range_bound
2022-05-04,-0.1010029492563409,0.0007666672390290557,0.00018936383565881787,trending_up
2022-05-05,-0.10053411586983141,0.0010167027681820498,0.0003501449624511155,range_bound
2022-05-06,-0.10075346347840852,0.0009641279440135243,0.00033809112063021285,range_bound
2022-05-09,-0.10068789696059244,0.0008590066019813139,0.0002689578207759613,range_bound
2022-05-10,-0.100482977372227,0.0005123081434509195,0.00010095740502247263,range_bound
2022-05-11,-0.10035275715641634,0.00047913587778967824,8.800425456412242e-05,range_bound
2022-05-13,-0.10023289131359858,0.0003032459829194465,3.5712216215011416e-05,range_bound
2022-05-16,-0.10019985329261394,0.0006480960408572271,0.00016671333185291903,range_bound
2022-05-17,-0.10022581149241727,0.0007825813143559956,0.00023970254864835727,range_bound
2022-05-18,-0.09781545635183297,0.001008768203230555,0.00041713475984417325,crisis
2022-05-19,-0.09751856447954521,0.0006258632704212809,0.0001725165256951655,crisis
2022-05-20,-0.09751929684911165,0.0004776386173469256,0.00010011362492789999,crisis
2022-05-23,-0.09749864601876679,0.0005845684327869417,0.0001486730423692073,crisis
2022-05-24,-0.09687022796626787,0.000815416112857057,0.0002923581744983528,crisis
2022-05-25,-0.09667821056399106,0.0007617545230246944,0.0002557358355876893,crisis
2022-05-26,-0.09667379716925961,0.0007642686600789201,0.0002574578281152595,crisis
2022-05-27,-0.0965535660443928,0.0008386763907907324,0.000315163536635632,crisis
2022-05-31,-0.09666314254526787,0.0010772974739274885,0.0005315967918261277,crisis
2022-06-01,-0.09604231515362482,0.0010005970885253537,0.0004591964057329978,crisis
2022-06-02,-0.09594572830727066,0.0009072179789834566,0.0003786552387298192,crisis
2022-06-03,-0.09592104369019117,0.000928238692897911,0.0003976903801458098,crisis
2022-06-06,-0.09542239359935623,0.00080417267703798,0.00030161450497245834,crisis
2022-06-07,-0.0954189072631485,0.0008050194205853545,0.00030225046675258493,crisis
2022-06-08,-0.0953424354160729,0.000832541517945862,0.00032359023286732125,crisis
2022-06-09,-0.09477025173627762,0.0007578307966020864,0.0002694710804194145,crisis
2022-06-10,-0.09553698572586244,0.000982463428924458,0.00046405998993093167,crisis
2022-06-13,-0.09595964315071581,0.0010972581525507668,0.0005997615899104858,crisis
2022-06-14,-0.09591411879680989,0.0007385921103782856,0.0002873663682421146,crisis
2022-06-15,-0.09615196374065516,0.0008238365520824295,0.00035655599811534877,crisis
2022-06-16,-0.09611946293574469,0.0009457262129499485,0.00047312917742925453,crisis
2022-06-17,-0.0959826922624496,0.0006407849189213014,0.00022528056711101918,crisis
2022-06-21,-0.08685690808427515,0.0010759636652164556,0.0012006115466458578,crisis
2022-06-22,-0.08688779846502681,0.0011740269086964843,0.0014630367638158726,crisis
2022-06-23,-0.08703312650279305,0.001151812523995175,0.0014082503027775806,crisis
2022-06-24,-0.08689331942830991,0.0011865845849424817,0.001496818491431351,crisis
2022-06-27,-0.08695158385863766,0.0012779485466899402,0.001797825576104195,crisis
2022-06-28,-0.08639985958713126,0.0012767768371055735,0.0017948249075724343,crisis
2022-06-29,-0.08636831854797156,0.0011588681192801023,0.0014997494122013233,crisis
2022-06-30,-0.08645871343702682,0.0011711233041670202,0.0015317222868029834,crisis
