,total_return,annual_return,annual_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,n_trades,hit_rate,avg_win,avg_loss,profit_factor,avg_hold_days,avg_pnl_pct,total_costs,var_95,cvar_95,turnover,alpha,beta,r2
signal_macd,0.4486,0.0661,0.213,0.1766,0.2719,0.2627,-0.2518,-0.1054,870.0,100.0,0.41,4826.0499,-2884.6734,1.1626,12.07,-0.0053,13409.8604,-0.0181,-0.0305,17.284,0.0,1.0,0.0
signal_ensemble,0.0859,0.0143,0.3199,0.0496,0.0729,0.0307,-0.4671,-0.2135,1105.0,92.0,0.4348,4631.8321,-3485.197,1.0223,12.8804,-0.0035,12974.0114,-0.0273,-0.0473,15.9012,0.0,1.0,0.0
signal_rsi_vol_trend_gated,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
signal_zscore,0.0656,0.011,0.169,-0.1389,-0.1944,0.0364,-0.3035,-0.078,924.0,24.0,0.5,5234.8848,-4114.7458,1.2722,18.0417,0.0101,2906.081,-0.0064,-0.0244,4.1481,0.0,1.0,0.0
signal_rsi,-0.0937,-0.0169,0.2027,-0.2238,-0.3248,-0.0565,-0.2985,-0.1539,997.0,34.0,0.5294,3504.5542,-5288.414,0.7455,15.2647,-0.0062,4946.2622,-0.016,-0.0332,5.8765,0.0,1.0,0.0
signal_adaptive,0.0799,0.0134,0.0877,-0.3612,-0.5432,0.0939,-0.1425,-0.0515,961.0,114.0,0.4561,1600.5096,-1727.0544,0.7773,7.1491,-0.0047,8129.6016,-0.0087,-0.0135,19.7037,0.0,1.0,0.0
signal_bb,-0.0481,-0.0085,0.0642,-0.8605,-1.161,-0.0651,-0.1302,-0.0306,546.0,29.0,0.3793,1154.257,-620.2558,1.1372,1.5517,0.001,5877.089,0.0,-0.0002,5.0123,0.0,1.0,0.0
signal_regime_adaptive,0.054,0.0091,0.0414,-0.9378,-1.7723,0.1245,-0.0733,-0.0452,876.0,17.0,0.3529,1531.2053,-1267.5716,0.6589,6.4118,-0.0048,1649.0093,-0.0,-0.003,2.9383,0.0,1.0,0.0
signal_macd_trend_gated,0.003,0.0005,0.0333,-1.4325,-2.1234,0.0072,-0.0724,-0.0474,876.0,13.0,0.3846,1555.2726,-994.4315,0.9775,7.8462,-0.0049,1067.8776,0.0,-0.0002,2.2469,0.0,1.0,0.0
signal_mr_pool,0.058,0.0098,0.0269,-1.4362,-18.3196,1.5752,-0.0062,-0.0062,1037.0,1.0,0.0,0.0,-5490.5279,0.0,4.0,-0.028,267.7388,0.0,-0.0,0.1728,0.0,1.0,0.0
signal_zscore_vol_bb_gated,0.058,0.0098,0.0269,-1.4362,-18.3196,1.5752,-0.0062,-0.0062,1037.0,1.0,0.0,0.0,-5490.5279,0.0,4.0,-0.028,267.7388,0.0,-0.0,0.1728,0.0,1.0,0.0
signal_trend_pool,-0.004,-0.0007,0.0334,-1.4655,-2.1659,-0.009,-0.0773,-0.0499,876.0,16.0,0.375,1531.2053,-845.276,1.0869,6.5625,-0.0033,1381.2705,0.0,-0.0002,2.7654,0.0,1.0,0.0
signal_bb_breakout_gated,-0.007,-0.0012,0.0023,-21.6009,-21.6385,-0.1733,-0.007,-0.0069,472.0,3.0,0.3333,1410.8684,-248.654,2.837,1.0,0.0034,313.393,0.0,-0.0,0.5185,0.0,1.0,0.0
