,alpha_annual,beta_mkt,r2,regime
2021-06-28,,,,range_bound
2021-06-29,,,,range_bound
2021-06-30,,,,range_bound
2021-07-01,,,,range_bound
2021-07-02,,,,range_bound
2021-07-19,,,,range_bound
2021-07-20,,,,range_bound
2021-07-21,,,,range_bound
2021-07-22,,,,range_bound
2021-07-23,,,,range_bound
2021-07-26,,,,range_bound
2021-07-27,,,,range_bound
2021-07-28,,,,range_bound
2021-07-29,,,,range_bound
2021-07-30,,,,range_bound
2021-08-02,,,,range_bound
2021-08-03,,,,range_bound
2021-08-04,,,,range_bound
2021-08-05,,,,range_bound
2021-08-06,,,,range_bound
2021-08-09,,,,range_bound
2021-08-10,,,,range_bound
2021-08-11,,,,range_bound
2021-08-12,,,,range_bound
2021-08-13,,,,range_bound
2021-08-16,,,,range_bound
2021-08-17,,,,range_bound
2021-08-18,,,,range_bound
2021-08-19,,,,range_bound
2021-08-20,,,,range_bound
2021-08-23,,,,range_bound
2021-08-24,,,,range_bound
2021-08-30,,,,range_bound
2021-08-31,,,,range_bound
2021-09-01,,,,range_bound
2021-09-02,,,,range_bound
2021-09-07,,,,range_bound
2021-09-08,,,,range_bound
2021-09-09,,,,range_bound
2021-09-10,,,,range_bound
2021-09-13,,,,range_bound
2021-09-14,,,,range_bound
2021-09-15,,,,range_bound
2021-09-16,,,,range_bound
2021-09-17,,,,range_bound
2021-09-20,,,,range_bound
2021-09-21,,,,range_bound
2021-09-22,,,,range_bound
2021-09-23,,,,range_bound
2021-09-24,,,,range_bound
2021-09-30,,,,range_bound
2021-10-01,,,,range_bound
2021-10-04,,,,range_bound
2021-10-05,,,,range_bound
2021-10-06,,,,range_bound
2021-10-07,,,,range_bound
2021-10-08,,,,range_bound
2021-10-11,,,,range_bound
2021-10-12,,,,range_bound
2021-10-13,,,,range_bound
2021-10-14,,,,range_bound
2021-10-15,,,,range_bound
2021-10-18,,,,range_bound
2021-10-19,,,,trending_up
2021-10-20,,,,trending_up
2021-10-21,,,,trending_up
2021-10-22,,,,trending_up
2021-10-25,,,,trending_up
2021-10-26,,,,trending_up
2021-10-27,,,,range_bound
2021-10-28,,,,range_bound
2021-10-29,,,,range_bound
2021-11-12,,,,range_bound
2021-11-15,,,,range_bound
2021-11-16,,,,trending_up
2021-11-17,,,,trending_up
2021-11-18,,,,trending_up
2021-11-19,,,,trending_up
2021-11-22,,,,trending_up
2021-11-23,,,,range_bound
2021-11-24,,,,trending_up
2021-11-26,,,,range_bound
2021-11-29,,,,range_bound
2021-11-30,,,,range_bound
2021-12-01,,,,range_bound
2021-12-08,,,,range_bound
2021-12-09,,,,range_bound
2021-12-10,,,,range_bound
2021-12-13,,,,range_bound
2021-12-14,,,,range_bound
2021-12-15,,,,range_bound
2021-12-16,,,,range_bound
2021-12-17,,,,range_bound
2021-12-20,,,,range_bound
2021-12-21,,,,range_bound
2021-12-22,,,,range_bound
2021-12-23,,,,range_bound
2021-12-27,,,,range_bound
2021-12-28,,,,range_bound
2021-12-29,,,,range_bound
2021-12-30,,,,range_bound
2021-12-31,,,,range_bound
2022-01-03,,,,range_bound
2022-01-04,,,,range_bound
2022-01-05,,,,range_bound
2022-01-06,,,,range_bound
2022-01-07,,,,range_bound
2022-01-10,,,,range_bound
2022-01-11,,,,range_bound
2022-01-12,,,,range_bound
2022-01-13,,,,range_bound
2022-01-14,,,,range_bound
2022-01-18,,,,range_bound
2022-01-19,,,,range_bound
2022-01-20,,,,range_bound
2022-01-21,,,,range_bound
2022-01-24,,,,range_bound
2022-01-25,,,,range_bound
2022-01-26,,,,trending_down
2022-01-27,,,,trending_down
2022-01-28,,,,range_bound
2022-01-31,,,,range_bound
2022-02-01,,,,range_bound
2022-02-02,,,,range_bound
2022-02-14,,,,range_bound
2022-02-15,,,,range_bound
2022-02-16,-0.2913979550652501,-0.5183946397701561,0.06682270655339417,range_bound
2022-02-17,-0.2923648264962514,-0.5186011788059015,0.06686324042119385,range_bound
2022-02-18,-0.3092785678054637,-0.5045004182024062,0.06652388758499594,range_bound
2022-02-22,-0.318301960561056,-0.5032576415160384,0.06653613329802677,trending_down
2022-02-23,-0.32147065830753363,-0.4983346269192235,0.06587707011793431,trending_down
2022-02-24,-0.27489096992307527,-0.46068647719204764,0.060528910937173164,trending_down
2022-02-25,-0.3205956617022808,-0.42316923354369396,0.05284682602641155,range_bound
2022-02-28,-0.2919052671412744,-0.3890520032723792,0.04637664920262907,trending_down
2022-03-01,-0.27331493415562214,-0.38026742647280964,0.04436285325790079,trending_down
2022-03-02,-0.2702612087550058,-0.3691099543026193,0.04283660891561003,trending_down
2022-03-03,-0.1834405783195252,-0.31052659628181034,0.0335398331449982,trending_down
2022-03-04,-0.17343502381432052,-0.30745662091156273,0.033031294868089534,trending_down
2022-03-07,-0.21709782404777067,-0.2934903223985309,0.030651133204118275,trending_down
2022-03-08,-0.21119761455704866,-0.21393237056352626,0.017838757254797666,trending_down
2022-03-09,-0.22051592375460316,-0.21328240993752567,0.017783650898550607,trending_down
2022-03-10,-0.23882141722201677,-0.22374638479446657,0.02068102307603592,trending_down
2022-03-11,-0.23632066079130987,-0.22427069751485929,0.020800400882075687,trending_down
2022-03-14,-0.2433625483654116,-0.21680021811667854,0.019574120487570457,trending_down
2022-03-15,-0.23734317416380402,-0.21956271019869464,0.02008510683428244,trending_down
2022-03-16,-0.23119048383537977,-0.2173135898812166,0.02037817634089656,trending_down
2022-03-17,-0.23850616763831134,-0.21892256167121985,0.021444672921041574,range_bound
2022-03-18,-0.2227477751727196,-0.21559714359854,0.02105603228969466,range_bound
2022-03-21,-0.21404487380136494,-0.21011230591275415,0.02015114293204512,range_bound
2022-03-22,-0.22158753164989065,-0.21103009325986286,0.02033636855913301,range_bound
2022-03-23,-0.1957235565991713,-0.2012067860460736,0.018637605272375235,range_bound
2022-03-24,-0.19780966156083934,-0.19661422377659832,0.01801627252153737,range_bound
2022-03-25,-0.17428781464660292,-0.18687321954876204,0.01652978477043532,range_bound
2022-03-28,-0.2039599461470991,-0.17691069552478428,0.015006372083318231,range_bound
2022-03-29,-0.22434281411070844,-0.16491090349918303,0.013077147937774591,range_bound
2022-03-30,-0.21140374127463313,-0.16013020122190472,0.012449101959038478,range_bound
2022-03-31,-0.17424532189307618,-0.14608753228124685,0.01060599333681811,range_bound
2022-04-01,-0.13765152482283616,-0.1053112549991133,0.005862051130506751,range_bound
2022-04-04,-0.0983812233973439,-0.10283296391469207,0.005646116737722751,range_bound
2022-04-05,-0.11298181073750013,-0.10951047603425831,0.006378074594401983,range_bound
2022-04-06,-0.14822647357271868,-0.09094116013266891,0.004383595716624611,range_bound
2022-04-07,-0.08274032875060089,-0.111745943109798,0.006444158576550119,range_bound
2022-04-08,-0.12193137542963461,-0.11532084105996872,0.00704194650515555,range_bound
2022-04-11,-0.07499337831311415,-0.12068453070097526,0.007619234437272526,range_bound
2022-04-12,-0.031880879698294784,-0.15545052483217964,0.012431269825961322,range_bound
2022-04-25,-0.02611173612992357,-0.1561358235222162,0.012528925592276141,range_bound
2022-04-26,-0.0701683913298623,-0.1318383235216928,0.009318540289278698,trending_down
2022-04-27,-0.07008933897806258,-0.09626774736824996,0.0052583627592321935,range_bound
2022-04-28,-0.0871452427256415,-0.0996048030736671,0.005591709166959724,range_bound
2022-04-29,-0.011552899286129903,-0.06485262183066283,0.0024994090479069087,range_bound
2022-05-02,-0.04903595496525326,-0.04306902569529934,0.0011950218323131256,range_bound
2022-05-03,-0.10505392034769734,-0.02214688957732416,0.00033037247364919864,range_bound
2022-05-04,-0.14663645819530702,0.002885024255659437,5.672114198884692e-06,range_bound
2022-05-05,-0.1280629180407723,0.01544102911735108,0.00017056782293900508,range_bound
2022-05-06,-0.10305859091168146,0.02162272269983889,0.0003584350151486504,range_bound
2022-05-09,-0.08328805395564853,0.027971502627810122,0.0005986689264121381,crisis
2022-05-10,-0.06220157807097404,0.028717292979396684,0.0006665621279768885,range_bound
2022-05-11,-0.05244230055651078,0.025569005353492276,0.0005256746240169807,crisis
2022-05-12,-0.09286934193100893,0.012618853251265718,0.000130941748812341,range_bound
2022-05-13,-0.062466069600105034,0.002064228855235158,3.5206618208549756e-06,crisis
2022-05-16,-0.08100803133491108,-0.001795822342280443,2.741084843660424e-06,crisis
2022-05-17,-0.09611324824123035,-0.0031165219792062574,8.268965070890033e-06,crisis
2022-05-18,-0.10547549533229794,-0.003965599281674667,1.3645932227190904e-05,crisis
2022-05-19,-0.1221756545753715,0.011302770022737012,0.00011883625954201005,crisis
2022-05-20,-0.1204601430766109,0.010886102508732001,0.00011019842170811867,crisis
2022-05-23,-0.10930622622721575,0.009730183715334252,8.840658052289285e-05,crisis
2022-05-24,-0.13729658582978488,0.0004141391581768254,1.6215225218108031e-07,crisis
2022-05-25,-0.12761636877986016,-0.01811641130322084,0.00030339466689754957,crisis
2022-05-26,-0.1278264118175848,-0.018119247149182702,0.0003037788558233334,crisis
2022-05-27,-0.148744464729893,-0.025305184965320606,0.000602018492907197,crisis
2022-05-31,-0.19301965347624384,-0.05015986949638777,0.0023682412448164936,crisis
2022-06-01,-0.164901612632133,-0.04979888776083511,0.002340521537981588,crisis
2022-06-02,-0.1662485564936692,-0.05021983163693301,0.0023851335271727336,crisis
2022-06-03,-0.07027903330449081,-0.03569695471811144,0.0012665062434334962,crisis
2022-06-06,-0.0929575504844472,-0.02800085138949112,0.0007820865672089061,crisis
2022-06-07,-0.0496400348870607,-0.025843647264472955,0.0006695012531794386,crisis
2022-06-08,0.05346305314535904,-0.03358988841887907,0.0012690263124132128,crisis
2022-06-09,0.05599480077362573,-0.032592880795781425,0.0011952881902855816,crisis
2022-06-10,0.018697617108536013,-0.0183198320238666,0.00038191296716560963,crisis
2022-06-13,-0.010413470914102496,0.007866058682422447,7.087773301583944e-05,crisis
2022-06-14,0.026059476434673545,-0.026062657758555586,0.0007969466643702461,crisis
2022-06-15,0.02012332663909433,-0.026200146979395503,0.0008045520344550638,crisis
2022-06-16,-0.0253946126652006,-0.0383483171088673,0.0017044677024388166,crisis
2022-06-17,0.04523266065864351,-0.06125641929825422,0.0044482395636823435,crisis
2022-06-21,0.017357456761368573,-0.061935973814632075,0.004554520333584944,crisis
2022-06-22,-0.10102235345005373,-0.08977260783500352,0.009607192725718527,crisis
