,total_return,annual_return,annual_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,n_trades,hit_rate,avg_win,avg_loss,profit_factor,avg_hold_days,avg_pnl_pct,total_costs,var_95,cvar_95,turnover,alpha,beta,r2
signal_rsi_vol_trend_gated,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
signal_rsi,0.0865,0.0144,0.2186,-0.0476,-0.0666,0.0309,-0.4675,-0.2379,1397.0,34.0,0.5882,3826.9287,-6624.4904,0.8253,14.5882,-0.0043,6025.5917,-0.0162,-0.0337,5.8765,0.0,1.0,0.0
signal_zscore,-0.0104,-0.0018,0.1936,-0.164,-0.231,-0.0053,-0.3392,-0.1891,1324.0,27.0,0.4815,4839.2111,-5908.3639,0.7605,17.2593,-0.0008,3736.5959,-0.0113,-0.0289,4.6667,0.0,1.0,0.0
signal_bb,0.0891,0.0149,0.0751,-0.4153,-0.5843,0.1008,-0.1474,-0.0268,411.0,35.0,0.1143,4195.421,-1008.7475,0.5367,1.6286,-0.0026,7297.9798,-0.0,-0.0003,6.0494,0.0,1.0,0.0
signal_ensemble,-0.3947,-0.0831,0.2259,-0.4867,-0.6696,-0.1686,-0.4928,-0.2901,1152.0,98.0,0.2449,4167.6422,-1362.9402,0.9917,11.949,-0.0025,15266.6921,-0.0189,-0.036,16.9383,0.0,1.0,0.0
signal_macd,-0.3983,-0.0841,0.2037,-0.568,-0.7388,-0.1542,-0.5452,-0.2367,893.0,104.0,0.2596,5046.0998,-1939.5016,0.9123,11.5769,-0.0046,16797.0064,-0.0182,-0.0349,17.9753,0.0,1.0,0.0
signal_adaptive,-0.093,-0.0167,0.0954,-0.6402,-0.8522,-0.0857,-0.1952,-0.0786,844.0,123.0,0.4146,1518.7829,-1315.0543,0.8181,6.6423,-0.0027,9335.4337,-0.0092,-0.0156,21.2593,0.0,1.0,0.0
signal_regime_adaptive,0.0308,0.0053,0.0442,-0.9629,-1.3346,0.0524,-0.1004,-0.0693,1258.0,11.0,0.5455,2924.4603,-1277.8375,2.7463,3.5455,0.0049,2071.5939,0.0,-0.0002,1.9012,0.0,1.0,0.0
signal_zscore_vol_bb_gated,0.07,0.0118,0.0357,-1.0198,-1.501,0.2839,-0.0415,-0.0081,229.0,6.0,0.6667,3997.2106,-2300.0673,3.4757,3.0,0.0095,1506.4871,0.0,-0.0001,1.037,0.0,1.0,0.0
signal_mr_pool,0.07,0.0118,0.0357,-1.0198,-1.501,0.2839,-0.0415,-0.0081,229.0,6.0,0.6667,3997.2106,-2300.0673,3.4757,3.0,0.0095,1506.4871,0.0,-0.0001,1.037,0.0,1.0,0.0
signal_trend_pool,-0.0392,-0.0069,0.0238,-2.3271,-2.8631,-0.0872,-0.0791,-0.0759,1284.0,5.0,0.4,778.9596,-596.3511,0.8708,4.2,-0.0006,565.1068,-0.0,-0.0001,0.8642,0.0,1.0,0.0
signal_macd_trend_gated,-0.0403,-0.0071,0.0238,-2.3385,-2.8743,-0.0907,-0.078,-0.0757,1284.0,3.0,0.6667,778.9596,-1690.4133,0.9216,6.0,-0.0004,422.2451,-0.0,-0.0001,0.5185,0.0,1.0,0.0
signal_bb_breakout_gated,0.001,0.0002,0.0013,-38.4948,-111.0371,0.1646,-0.0011,-0.001,330.0,2.0,0.0,0.0,-49.3199,0.0,1.5,-0.0009,142.8617,0.0,-0.0,0.3457,0.0,1.0,0.0
