,alpha_annual,beta_mkt,r2,regime
2021-06-28,,,,range_bound
2021-06-29,,,,range_bound
2021-06-30,,,,range_bound
2021-07-01,,,,range_bound
2021-07-02,,,,range_bound
2021-07-06,,,,range_bound
2021-07-07,,,,range_bound
2021-07-08,,,,range_bound
2021-07-09,,,,range_bound
2021-07-12,,,,range_bound
2021-07-13,,,,range_bound
2021-07-14,,,,range_bound
2021-07-15,,,,range_bound
2021-07-16,,,,range_bound
2021-07-19,,,,range_bound
2021-07-20,,,,range_bound
2021-07-21,,,,range_bound
2021-07-22,,,,range_bound
2021-07-23,,,,range_bound
2021-07-26,,,,range_bound
2021-07-29,,,,range_bound
2021-07-30,,,,range_bound
2021-08-02,,,,range_bound
2021-08-03,,,,range_bound
2021-08-04,,,,range_bound
2021-08-05,,,,range_bound
2021-08-06,,,,range_bound
2021-08-09,,,,range_bound
2021-08-10,,,,range_bound
2021-08-11,,,,range_bound
2021-08-12,,,,range_bound
2021-08-13,,,,range_bound
2021-08-16,,,,range_bound
2021-08-19,,,,range_bound
2021-08-23,,,,range_bound
2021-08-24,,,,range_bound
2021-08-25,,,,range_bound
2021-08-26,,,,range_bound
2021-08-27,,,,range_bound
2021-08-30,,,,range_bound
2021-08-31,,,,range_bound
2021-09-01,,,,range_bound
2021-09-02,,,,range_bound
2021-09-03,,,,range_bound
2021-09-07,,,,range_bound
2021-09-08,,,,range_bound
2021-09-09,,,,range_bound
2021-09-10,,,,range_bound
2021-09-13,,,,range_bound
2021-09-14,,,,range_bound
2021-09-15,,,,range_bound
2021-09-16,,,,range_bound
2021-09-20,,,,range_bound
2021-09-21,,,,range_bound
2021-09-22,,,,range_bound
2021-09-23,,,,range_bound
2021-09-24,,,,range_bound
2021-09-27,,,,range_bound
2021-09-28,,,,range_bound
2021-09-29,,,,range_bound
2021-09-30,,,,range_bound
2021-10-01,,,,range_bound
2021-10-04,,,,range_bound
2021-10-05,,,,range_bound
2021-10-06,,,,range_bound
2021-10-08,,,,range_bound
2021-10-11,,,,range_bound
2021-10-12,,,,range_bound
2021-10-13,,,,range_bound
2021-10-14,,,,range_bound
2021-10-22,,,,range_bound
2021-10-25,,,,range_bound
2021-10-26,,,,range_bound
2021-10-27,,,,range_bound
2021-10-28,,,,range_bound
2021-10-29,,,,range_bound
2021-11-01,,,,range_bound
2021-11-02,,,,trending_up
2021-11-03,,,,range_bound
2021-11-04,,,,range_bound
2021-11-05,,,,range_bound
2021-11-08,,,,range_bound
2021-11-09,,,,range_bound
2021-11-10,,,,range_bound
2021-11-11,,,,range_bound
2021-11-12,,,,range_bound
2021-11-15,,,,range_bound
2021-11-16,,,,range_bound
2021-11-17,,,,range_bound
2021-11-18,,,,range_bound
2021-11-19,,,,range_bound
2021-11-22,,,,range_bound
2021-11-23,,,,range_bound
2021-11-24,,,,range_bound
2021-11-26,,,,range_bound
2021-11-29,,,,range_bound
2021-11-30,,,,range_bound
2021-12-13,,,,range_bound
2021-12-14,,,,range_bound
2021-12-15,,,,range_bound
2021-12-16,,,,range_bound
2021-12-17,,,,range_bound
2021-12-20,,,,range_bound
2021-12-21,,,,range_bound
2021-12-22,,,,range_bound
2021-12-23,,,,range_bound
2021-12-27,,,,range_bound
2021-12-28,,,,range_bound
2021-12-29,,,,range_bound
2021-12-30,,,,range_bound
2021-12-31,,,,range_bound
2022-01-03,,,,range_bound
2022-01-04,,,,range_bound
2022-01-05,,,,range_bound
2022-01-07,,,,range_bound
2022-01-10,,,,range_bound
2022-01-11,,,,range_bound
2022-01-12,,,,range_bound
2022-01-13,,,,range_bound
2022-01-14,,,,range_bound
2022-01-18,,,,range_bound
2022-01-19,,,,range_bound
2022-01-20,,,,range_bound
2022-01-21,,,,range_bound
2022-01-24,,,,range_bound
2022-01-25,,,,range_bound
2022-01-26,-0.4735473591950885,-0.6990945308431915,0.11581606672157019,trending_down
2022-01-31,-0.4455469924179376,-0.6946691417754597,0.11605421249670211,range_bound
2022-02-01,-0.4095783199575036,-0.6621698973366021,0.11055577376587145,range_bound
2022-02-02,-0.40896512702957344,-0.6577901272158214,0.1097542057096853,range_bound
2022-02-03,-0.3998232075742597,-0.6489939977089364,0.10765248345319256,range_bound
2022-02-04,-0.36966508831171596,-0.5836542263485649,0.09674881450591688,range_bound
2022-02-07,-0.3633239242009716,-0.5807815890372643,0.09600393776937133,trending_down
2022-02-08,-0.3508942836394604,-0.5754354419027208,0.09475388290606912,range_bound
2022-02-09,-0.3600999368409006,-0.5573841859250855,0.08991222807043775,range_bound
2022-02-10,-0.34865346625023563,-0.5421021846860404,0.0859527843685367,trending_down
2022-02-11,-0.36870918376113115,-0.5286983276582056,0.08457133386503446,trending_down
2022-02-14,-0.3467617700392266,-0.5191244450196948,0.08627323053422231,trending_down
2022-02-15,-0.3360282653272033,-0.5174805400298899,0.08601399965587053,trending_down
2022-02-16,-0.33585848510325056,-0.4995879657685394,0.08262966163572572,trending_down
2022-02-17,-0.33223998769164875,-0.4999621681653442,0.0823013863682236,trending_down
2022-02-18,-0.3636316959703857,-0.45945162351034036,0.07287975255822754,trending_down
2022-02-22,-0.35599438321637766,-0.44961200871282275,0.06900045594073989,trending_down
2022-02-23,-0.3485009594498406,-0.43947655203904695,0.06646729255589212,trending_down
2022-02-28,-0.3110579862248888,-0.4325536866000882,0.06794302335948621,trending_down
2022-03-01,-0.28773557184091403,-0.4172160262751253,0.06331261474355543,trending_down
2022-03-02,-0.28982073075758874,-0.4074771798592597,0.06159957180460607,trending_down
2022-03-03,-0.2714056964104923,-0.38921335391930323,0.05804480134758183,trending_down
2022-03-04,-0.2893636767301877,-0.38426018732953887,0.05687977007234879,trending_down
2022-03-07,-0.2971889692820935,-0.3807308310713946,0.05610148273766835,trending_down
2022-03-17,-0.2953301611299751,-0.32573622259082113,0.04404997361013496,trending_down
2022-03-18,-0.29199359139370396,-0.31845832044707606,0.04275397677201098,trending_down
2022-03-21,-0.2522165166251972,-0.3009927714549714,0.03910866138565594,trending_down
2022-03-22,-0.25444080925095125,-0.30136927580327066,0.03918722099855043,trending_down
2022-03-23,-0.2574005876825628,-0.29497044240822823,0.03814637267749721,trending_down
2022-03-24,-0.2861287770742639,-0.2938347385827422,0.03861461327267335,trending_down
2022-03-25,-0.27149698171863756,-0.2845084340133873,0.036934447589862196,trending_down
2022-03-28,-0.23732916598924203,-0.2773824427985785,0.03573085032400236,trending_down
2022-03-29,-0.19052482842305396,-0.268496355945872,0.03426268717758629,trending_down
2022-03-30,-0.19611402613963858,-0.2623585343273839,0.03329611050210113,trending_down
2022-03-31,-0.12246686145351204,-0.2524880852364299,0.03369573893576916,trending_down
2022-04-01,-0.15357803310595752,-0.2302056625468287,0.02794729679252317,trending_down
2022-04-04,-0.16715354856309117,-0.23139602733525727,0.02839328445181777,trending_down
2022-04-05,-0.1333354304168327,-0.21630933879564937,0.024592139906902566,trending_down
2022-04-07,-0.18081070724460413,-0.1956381448929644,0.020311683823463045,trending_down
2022-04-08,-0.1892722843805874,-0.19768052113551007,0.02060573783861408,trending_down
2022-04-11,-0.13268338597865692,-0.1922743866579872,0.01953272858474675,trending_down
2022-04-12,-0.08914122308603556,-0.24174989593977178,0.02924259933797313,trending_down
2022-04-13,-0.0808886790012624,-0.24278934043359632,0.02946484095126156,trending_down
2022-04-14,-0.10876615330637329,-0.25315044503121853,0.03219512587151785,trending_down
2022-04-18,-0.09003193236462537,-0.26356233758064074,0.034919980643394855,trending_down
2022-04-19,-0.09861377990735487,-0.2629147864230338,0.03476976786903563,trending_down
2022-04-20,-0.11408860595647197,-0.2722912401544806,0.0379195373182214,trending_down
2022-04-21,-0.14428387747029625,-0.26874165896533914,0.03726825448762838,trending_down
2022-04-22,-0.14280838836488563,-0.2744921674494236,0.03916970453544799,trending_down
2022-04-25,-0.11638127738481363,-0.28855645474248737,0.045102483426369466,trending_down
2022-04-26,-0.09908097956107553,-0.30015895425458416,0.04945642960752694,trending_down
2022-04-29,-0.018614249520719883,-0.28427660111373226,0.048828727934184024,trending_down
2022-05-02,-0.021607129899782307,-0.2597361515884889,0.04410760618721887,trending_down
2022-05-03,-0.06903575253156247,-0.2273974472559187,0.03553160435015179,trending_down
2022-05-04,-0.061583814194676734,-0.22702560375687744,0.03551500817981457,trending_down
2022-05-05,0.004538266914887901,-0.1985867199991605,0.029277360273690767,trending_down
2022-05-06,0.0031214934575927167,-0.18025139258470485,0.02549702141437482,trending_down
2022-05-09,-0.001850085537687507,-0.18017808424440507,0.025482795310716733,trending_down
2022-05-10,-0.061221787686844165,-0.16862625187239136,0.024216064474143484,trending_down
2022-05-11,-0.11609302232350627,-0.12860420820866283,0.015194758414219356,trending_down
2022-05-24,-0.11936306176445255,-0.12739982732252123,0.015053397071724484,trending_down
2022-05-25,-0.11186231719171336,-0.13052889230479758,0.015763615796048125,trending_down
2022-05-26,-0.14962128580591672,-0.14427380670917697,0.019542851264393146,trending_down
2022-05-27,-0.12131882108519321,-0.14227225071944882,0.019416125700773,trending_down
2022-05-31,-0.10123501616852515,-0.1271828738201444,0.01588433298556824,trending_down
2022-06-01,-0.11202683640757438,-0.12745666071504771,0.015935585722482548,trending_down
2022-06-02,-0.11134601547311973,-0.12755731506207088,0.015991839554553078,trending_down
2022-06-03,-0.08734572468958723,-0.11777238462589731,0.0138730404900268,trending_down
2022-06-06,-0.11498522023335411,-0.10290507429507698,0.010520237578635627,trending_down
2022-06-07,-0.1323827967215877,-0.10521665707862367,0.010987971275441821,trending_down
2022-06-08,-0.11956217119520751,-0.10456562876812633,0.010643176708499347,trending_down
2022-06-09,-0.14272733208718913,-0.10021302532739618,0.009783871716854464,trending_down
2022-06-10,-0.20160461471604785,-0.05601773882657737,0.0028861145449233794,trending_down
2022-06-13,-0.2679911819676446,0.05493992998230722,0.0021660351317869253,crisis
2022-06-14,-0.10099680748712625,-0.04048543388165651,0.0014068372466164991,crisis
2022-06-15,-0.08312546493057793,-0.03859504806225715,0.0012693338655357378,crisis
2022-06-16,0.008626896984315957,-0.01904326147855617,0.0003127020325242036,crisis
2022-06-17,-0.021479388230495666,0.002639030054006827,6.182072829430396e-06,crisis
2022-06-21,0.011182605600075002,0.006579387175492676,3.8480102302673735e-05,crisis
2022-06-22,0.06889090144845156,0.02755198977134766,0.0006870718282392385,crisis
