,total_return,annual_return,annual_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,n_trades,hit_rate,avg_win,avg_loss,profit_factor,avg_hold_days,avg_pnl_pct,total_costs,var_95,cvar_95,turnover,alpha,beta,r2
signal_rsi_vol_trend_gated,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
signal_zscore_vol_bb_gated,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
signal_mr_pool,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
signal_macd,0.14,0.0229,0.1373,-0.1223,-0.1835,0.083,-0.2762,-0.1583,1155.0,111.0,0.3514,3586.7987,-1873.7539,1.0369,11.0901,-0.0013,17193.4121,-0.0126,-0.02,19.1852,0.0,1.0,0.0
signal_ensemble,-0.1112,-0.0202,0.2038,-0.2372,-0.3167,-0.0595,-0.3387,-0.1312,920.0,100.0,0.41,3074.106,-2049.1705,1.0425,11.61,0.0002,15120.344,-0.0175,-0.0304,17.284,0.0,1.0,0.0
signal_rsi,-0.009,-0.0016,0.153,-0.2526,-0.3592,-0.0057,-0.2719,-0.0763,1099.0,38.0,0.6579,2315.795,-4953.7608,0.899,13.8421,0.0003,6193.3892,-0.0083,-0.022,6.5679,0.0,1.0,0.0
signal_zscore,-0.1854,-0.0348,0.1795,-0.3793,-0.5211,-0.0875,-0.3982,-0.2491,1404.0,32.0,0.625,3047.4582,-4031.0618,1.26,17.9375,0.0046,4637.1409,-0.0091,-0.0265,5.5309,0.0,1.0,0.0
signal_bb,0.1651,0.0268,0.0431,-0.4984,-0.8451,0.5415,-0.0494,-0.0134,509.0,29.0,0.2759,2533.5879,-442.4167,2.1816,1.6552,0.0038,5893.5694,0.0,-0.0001,5.0123,0.0,1.0,0.0
signal_adaptive,0.0842,0.0141,0.0524,-0.6386,-0.9509,0.1305,-0.1078,-0.0494,694.0,125.0,0.432,1120.998,-750.0581,1.1367,7.136,0.001,9277.3331,-0.0051,-0.008,21.6049,0.0,1.0,0.0
signal_macd_trend_gated,0.0063,0.0011,0.0125,-3.809,-6.584,0.0661,-0.0166,-0.0159,1138.0,2.0,1.0,550.6194,0.0,inf,6.0,0.0063,240.1238,0.0,-0.0,0.3457,0.0,1.0,0.0
signal_trend_pool,0.0048,0.0008,0.0125,-3.8274,-6.6072,0.0459,-0.0181,-0.0164,1138.0,3.0,0.6667,550.6194,-184.4007,5.972,4.3333,0.0033,341.1984,0.0,-0.0,0.5185,0.0,1.0,0.0
signal_regime_adaptive,0.0048,0.0008,0.0125,-3.8274,-6.6072,0.0459,-0.0181,-0.0164,1138.0,3.0,0.6667,550.6194,-184.4007,5.972,4.3333,0.0033,341.1984,0.0,-0.0,0.5185,0.0,1.0,0.0
signal_bb_breakout_gated,-0.0015,-0.0003,0.0005,-102.2791,-102.2791,-0.1729,-0.0015,-0.0015,394.0,1.0,0.0,0.0,-184.4007,0.0,1.0,-0.0026,101.0747,0.0,-0.0,0.1728,0.0,1.0,0.0
