,total_return,annual_return,annual_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,n_trades,hit_rate,avg_win,avg_loss,profit_factor,avg_hold_days,avg_pnl_pct,total_costs,var_95,cvar_95,turnover,alpha,beta,r2
signal_zscore_vol_bb_gated,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
signal_macd,0.1336,0.0219,0.1389,-0.1265,-0.1899,0.0793,-0.2763,-0.1585,1157.0,111.0,0.3333,3750.487,-1798.0389,1.0429,11.0901,-0.0013,17186.2895,-0.0128,-0.0202,19.1852,0.0,1.0,0.0
signal_ensemble,-0.1251,-0.0228,0.2089,-0.2394,-0.3198,-0.0664,-0.3438,-0.1279,927.0,101.0,0.3762,3501.9201,-1955.3666,1.0802,11.3366,0.0008,15606.9046,-0.0178,-0.0308,17.4568,0.0,1.0,0.0
signal_rsi,-0.0308,-0.0054,0.1546,-0.2735,-0.3914,-0.0198,-0.2726,-0.0774,1099.0,38.0,0.6579,2174.3723,-4915.9947,0.8506,13.5263,-0.0,6051.7262,-0.0081,-0.0223,6.5679,0.0,1.0,0.0
signal_zscore,-0.2046,-0.0388,0.1849,-0.3852,-0.5345,-0.0951,-0.4079,-0.2674,1404.0,29.0,0.5862,3252.2755,-3543.0487,1.3004,18.3793,0.0037,4152.6688,-0.0089,-0.0267,5.0123,0.0,1.0,0.0
signal_bb,0.1941,0.0311,0.036,-0.4859,-1.186,0.6969,-0.0447,-0.0068,509.0,27.0,0.2593,2166.369,-346.7432,2.1867,1.7037,0.0027,5475.1549,0.0,-0.0001,4.6667,0.0,1.0,0.0
signal_adaptive,0.0145,0.0025,0.0542,-0.8274,-1.2141,0.0225,-0.1106,-0.0662,1173.0,124.0,0.4032,1145.3924,-725.0536,1.0674,7.0565,0.0007,9309.3744,-0.0056,-0.0085,21.4321,0.0,1.0,0.0
signal_regime_adaptive,-0.008,-0.0014,0.0134,-3.7305,-5.7428,-0.0459,-0.0302,-0.0187,1138.0,4.0,0.75,1231.3627,-168.8052,21.8837,3.5,0.0065,557.5066,-0.0,-0.0,0.6914,0.0,1.0,0.0
signal_macd_trend_gated,0.007,0.0012,0.0124,-3.8335,-6.7556,0.0777,-0.0155,-0.015,1138.0,2.0,1.0,552.5049,0.0,inf,6.0,0.0063,240.0312,0.0,-0.0,0.3457,0.0,1.0,0.0
signal_trend_pool,0.0055,0.001,0.0124,-3.8513,-6.7779,0.0562,-0.017,-0.0155,1138.0,3.0,0.6667,552.5049,-168.8052,6.5461,4.3333,0.0033,331.0887,0.0,-0.0,0.5185,0.0,1.0,0.0
signal_rsi_vol_trend_gated,-0.0135,-0.0024,0.0052,-9.8832,-9.8832,-0.1738,-0.0135,-0.0135,290.0,1.0,1.0,2589.0783,0.0,inf,1.0,0.0161,226.4179,-0.0,-0.0,0.1728,0.0,1.0,0.0
signal_mr_pool,-0.0135,-0.0024,0.0052,-9.8832,-9.8832,-0.1738,-0.0135,-0.0135,290.0,1.0,1.0,2589.0783,0.0,inf,1.0,0.0161,226.4179,-0.0,-0.0,0.1728,0.0,1.0,0.0
signal_bb_breakout_gated,-0.0015,-0.0003,0.0005,-105.5837,-105.5837,-0.1729,-0.0015,-0.0015,394.0,1.0,0.0,0.0,-168.8052,0.0,1.0,-0.0026,91.0575,0.0,-0.0,0.1728,0.0,1.0,0.0
