,alpha_annual,beta_mkt,r2,regime
2021-07-02,,,,range_bound
2021-07-06,,,,range_bound
2021-07-07,,,,range_bound
2021-07-08,,,,range_bound
2021-07-09,,,,range_bound
2021-07-12,,,,range_bound
2021-07-13,,,,range_bound
2021-07-14,,,,range_bound
2021-07-15,,,,range_bound
2021-07-16,,,,range_bound
2021-07-19,,,,range_bound
2021-07-20,,,,range_bound
2021-07-21,,,,range_bound
2021-07-22,,,,range_bound
2021-07-23,,,,range_bound
2021-08-02,,,,range_bound
2021-08-03,,,,range_bound
2021-08-04,,,,range_bound
2021-08-05,,,,range_bound
2021-08-06,,,,range_bound
2021-08-13,,,,range_bound
2021-08-16,,,,range_bound
2021-08-18,,,,range_bound
2021-08-19,,,,range_bound
2021-08-20,,,,range_bound
2021-08-23,,,,range_bound
2021-08-24,,,,range_bound
2021-08-25,,,,range_bound
2021-08-26,,,,range_bound
2021-08-27,,,,range_bound
2021-08-30,,,,range_bound
2021-09-08,,,,range_bound
2021-09-09,,,,range_bound
2021-09-10,,,,range_bound
2021-09-13,,,,range_bound
2021-09-14,,,,range_bound
2021-09-15,,,,range_bound
2021-09-16,,,,range_bound
2021-09-17,,,,range_bound
2021-09-20,,,,range_bound
2021-09-21,,,,range_bound
2021-09-22,,,,range_bound
2021-09-23,,,,range_bound
2021-09-24,,,,range_bound
2021-09-27,,,,range_bound
2021-09-28,,,,range_bound
2021-10-01,,,,range_bound
2021-10-04,,,,range_bound
2021-10-05,,,,range_bound
2021-10-06,,,,range_bound
2021-10-07,,,,range_bound
2021-10-08,,,,range_bound
2021-10-11,,,,range_bound
2021-10-12,,,,range_bound
2021-10-13,,,,range_bound
2021-10-14,,,,range_bound
2021-10-15,,,,range_bound
2021-10-18,,,,range_bound
2021-10-19,,,,range_bound
2021-10-20,,,,range_bound
2021-10-21,,,,range_bound
2021-10-28,,,,range_bound
2021-10-29,,,,trending_up
2021-11-01,,,,trending_up
2021-11-02,,,,trending_up
2021-11-03,,,,trending_up
2021-11-04,,,,trending_up
2021-11-05,,,,trending_up
2021-11-08,,,,trending_up
2021-11-09,,,,trending_up
2021-11-10,,,,trending_up
2021-11-11,,,,trending_up
2021-11-12,,,,trending_up
2021-11-15,,,,trending_up
2021-11-16,,,,trending_up
2021-11-17,,,,trending_up
2021-11-18,,,,trending_up
2021-11-19,,,,trending_up
2021-11-22,,,,trending_up
2021-11-23,,,,trending_up
2021-11-24,,,,trending_up
2021-11-26,,,,range_bound
2021-11-29,,,,range_bound
2021-11-30,,,,range_bound
2021-12-09,,,,range_bound
2021-12-10,,,,range_bound
2021-12-13,,,,range_bound
2021-12-14,,,,range_bound
2021-12-15,,,,range_bound
2021-12-16,,,,range_bound
2021-12-17,,,,range_bound
2021-12-20,,,,range_bound
2021-12-21,,,,range_bound
2021-12-22,,,,range_bound
2021-12-23,,,,range_bound
2021-12-27,,,,range_bound
2022-01-06,,,,range_bound
2022-01-07,,,,range_bound
2022-01-10,,,,range_bound
2022-01-11,,,,range_bound
2022-01-12,,,,range_bound
2022-01-13,,,,range_bound
2022-01-14,,,,range_bound
2022-01-18,,,,range_bound
2022-01-19,,,,range_bound
2022-01-21,,,,range_bound
2022-01-24,,,,range_bound
2022-01-25,,,,range_bound
2022-01-26,,,,range_bound
2022-01-27,,,,range_bound
2022-01-28,,,,range_bound
2022-01-31,,,,range_bound
2022-02-01,,,,range_bound
2022-02-02,,,,range_bound
2022-02-03,,,,range_bound
2022-02-04,,,,range_bound
2022-02-07,,,,range_bound
2022-02-08,,,,range_bound
2022-02-09,,,,range_bound
2022-02-10,,,,range_bound
2022-02-11,,,,range_bound
2022-02-14,,,,range_bound
2022-02-15,,,,range_bound
2022-02-16,,,,range_bound
2022-02-17,,,,range_bound
2022-02-18,,,,range_bound
2022-02-22,0.19752276183751527,-0.3484630743940765,0.1068434945495228,trending_down
2022-02-23,0.2228838404604374,-0.3365754140548239,0.10231939860675543,trending_down
2022-02-24,0.2093249313164205,-0.33041728155220507,0.10133982522921414,trending_down
