ticker,signal,model,alpha_annual,alpha_daily,t_stat,p_value,significant,r2,adj_r2,ic,ir,n_obs,low_sample_size,beta_MKT,beta_SMB,beta_HML,beta_MOM
AAPL,signal_rsi,CAPM,0.174837,0.00063961,0.435,0.663573,False,0.0159,0.0123,0.126,0.4687,279,False,-0.262,,,
AAPL,signal_rsi,FF3,0.16503,0.00060632,0.4016,0.68797,False,0.0184,0.0077,0.1358,0.443,279,False,-0.229,0.0796,0.1168,
AAPL,signal_rsi,Carhart4,0.133985,0.00049908,0.3506,0.725908,False,0.0638,0.0501,0.2526,0.3683,279,False,-0.162,0.0211,0.1472,0.7877
AAPL,signal_macd,CAPM,-0.065405,-0.00026838,-0.317,0.751245,False,0.0104,0.0084,0.1017,-0.2225,500,False,-0.1623,,,
AAPL,signal_macd,FF3,-0.061542,-0.00025202,-0.2966,0.766766,False,0.0117,0.0057,0.1079,-0.2095,500,False,-0.1672,0.0846,0.0198,
AAPL,signal_macd,Carhart4,-0.058388,-0.00023871,-0.2802,0.77936,False,0.0126,0.0046,0.112,-0.1989,500,False,-0.1558,0.0692,0.0295,0.0953
AAPL,signal_zscore,CAPM,-0.424214,-0.00218815,-1.577,0.114792,False,0.0001,-0.0045,0.0119,-1.1249,217,False,0.0253,,,
AAPL,signal_zscore,FF3,-0.419522,-0.00215602,-1.5695,0.116522,False,0.0074,-0.0066,0.0858,-1.1165,217,False,0.0833,0.1253,0.2185,
AAPL,signal_zscore,Carhart4,-0.443945,-0.00232621,-1.6785,0.093252,False,0.0292,0.0109,0.171,-1.1947,217,False,0.1166,0.0812,0.2488,0.5746
AAPL,signal_bb,CAPM,-0.066546,-0.00027323,-3.3835,0.000716,True,0.0001,-0.0015,0.0098,-2.0672,632,False,-0.0017,,,
AAPL,signal_bb,FF3,-0.066139,-0.0002715,-3.4462,0.000569,True,0.0006,-0.0042,0.0239,-2.055,632,False,-0.0042,0.0057,-0.0045,
AAPL,signal_bb,Carhart4,-0.064802,-0.00026583,-3.4698,0.000521,True,0.0049,-0.0015,0.0698,-2.0178,632,False,-0.002,0.0027,-0.0037,0.022
AAPL,signal_ensemble,CAPM,-0.115052,-0.00048491,-11.7728,0.0,True,0.0023,0.0005,0.0484,-9.1926,532,False,0.0033,,,
AAPL,signal_ensemble,FF3,-0.115149,-0.00048534,-11.7072,0.0,True,0.0078,0.0021,0.0881,-9.2254,532,False,0.0068,-0.0062,0.0074,
AAPL,signal_ensemble,Carhart4,-0.114915,-0.00048429,-11.7535,0.0,True,0.0091,0.0016,0.0954,-9.2129,532,False,0.0073,-0.0068,0.0073,0.0047
AAPL,signal_rsi_vol_trend_gated,CAPM,-0.055257,-0.00022554,-7.208,0.0,True,0.0027,0.0012,0.0524,-4.6057,632,False,-0.0034,,,
AAPL,signal_rsi_vol_trend_gated,FF3,-0.055683,-0.00022733,-6.8802,0.0,True,0.0049,0.0001,0.0698,-4.6462,632,False,-0.0029,-0.0048,-0.0,
AAPL,signal_rsi_vol_trend_gated,Carhart4,-0.055506,-0.00022658,-7.024,0.0,True,0.0054,-0.0009,0.0735,-4.6326,632,False,-0.0026,-0.0052,0.0001,0.0029
AAPL,signal_zscore_vol_bb_gated,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
AAPL,signal_zscore_vol_bb_gated,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
AAPL,signal_zscore_vol_bb_gated,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
AAPL,signal_macd_trend_gated,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
AAPL,signal_macd_trend_gated,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
AAPL,signal_macd_trend_gated,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
AAPL,signal_bb_breakout_gated,CAPM,-0.046897,-0.00019058,-62.7469,0.0,True,0.0,-0.0016,0.0013,-35.1996,632,False,-0.0,,,
AAPL,signal_bb_breakout_gated,FF3,-0.046844,-0.00019037,-58.5368,0.0,True,0.003,-0.0018,0.0546,-35.2126,632,False,-0.0002,0.0007,-0.0003,
AAPL,signal_bb_breakout_gated,Carhart4,-0.046842,-0.00019036,-58.3925,0.0,True,0.003,-0.0034,0.0546,-35.2113,632,False,-0.0002,0.0006,-0.0003,0.0
AAPL,signal_mr_pool,CAPM,-0.055257,-0.00022554,-7.208,0.0,True,0.0027,0.0012,0.0524,-4.6057,632,False,-0.0034,,,
AAPL,signal_mr_pool,FF3,-0.055683,-0.00022733,-6.8802,0.0,True,0.0049,0.0001,0.0698,-4.6462,632,False,-0.0029,-0.0048,-0.0,
AAPL,signal_mr_pool,Carhart4,-0.055506,-0.00022658,-7.024,0.0,True,0.0054,-0.0009,0.0735,-4.6326,632,False,-0.0026,-0.0052,0.0001,0.0029
AAPL,signal_trend_pool,CAPM,-0.046942,-0.00019077,-66.9767,0.0,True,0.0,-0.0016,0.0013,-37.5711,632,False,-0.0,,,
AAPL,signal_trend_pool,FF3,-0.046893,-0.00019057,-62.4872,0.0,True,0.003,-0.0018,0.0546,-37.5877,632,False,-0.0002,0.0006,-0.0003,
AAPL,signal_trend_pool,Carhart4,-0.046891,-0.00019056,-62.3333,0.0,True,0.003,-0.0034,0.0546,-37.5863,632,False,-0.0002,0.0006,-0.0003,0.0
AAPL,signal_regime_adaptive,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
AAPL,signal_regime_adaptive,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
AAPL,signal_regime_adaptive,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
AAPL,signal_adaptive,CAPM,-0.185381,-0.0008133,-1.9201,0.054839,False,0.0273,0.0247,0.1652,-1.2017,374,False,-0.1498,,,
AAPL,signal_adaptive,FF3,-0.181213,-0.00079306,-1.8605,0.062809,False,0.0324,0.0246,0.1801,-1.1778,374,False,-0.1338,0.04,0.0739,
AAPL,signal_adaptive,Carhart4,-0.179661,-0.00078555,-1.8418,0.065503,False,0.0327,0.0222,0.1807,-1.1678,374,False,-0.1308,0.0382,0.0724,0.0264
GOOGL,signal_rsi,CAPM,-0.076673,-0.00031651,-0.2677,0.788903,False,0.0013,-0.0035,0.0367,-0.2056,209,False,0.0788,,,
GOOGL,signal_rsi,FF3,-0.085622,-0.00035514,-0.3146,0.753096,False,0.0517,0.0378,0.2274,-0.2356,209,False,0.3748,-0.0009,0.7448,
GOOGL,signal_rsi,Carhart4,0.001157,4.59e-06,0.004,0.996845,False,0.0761,0.058,0.2759,0.0032,209,False,0.4207,-0.0525,0.7165,0.5766
GOOGL,signal_macd,CAPM,0.0394,0.00015336,0.2497,0.802844,False,0.0169,0.0151,0.1299,0.1424,561,False,-0.1995,,,
GOOGL,signal_macd,FF3,0.047946,0.00018586,0.303,0.761905,False,0.0179,0.0126,0.1338,0.1733,561,False,-0.1857,0.044,0.0526,
GOOGL,signal_macd,Carhart4,0.033069,0.00012911,0.2163,0.828767,False,0.027,0.02,0.1642,0.1201,561,False,-0.214,0.0854,0.0369,-0.286
GOOGL,signal_zscore,CAPM,0.021929,8.608e-05,0.1106,0.911941,False,0.0638,0.0579,0.2526,0.1092,159,False,0.2722,,,
GOOGL,signal_zscore,FF3,0.035902,0.00013998,0.1722,0.863268,False,0.1015,0.0842,0.3187,0.1825,159,False,0.4404,-0.1188,0.3803,
GOOGL,signal_zscore,Carhart4,0.044265,0.00017189,0.207,0.836012,False,0.1359,0.1134,0.3686,0.2294,159,False,0.4944,-0.1814,0.4151,0.4096
GOOGL,signal_bb,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
GOOGL,signal_bb,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
GOOGL,signal_bb,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
GOOGL,signal_ensemble,CAPM,0.093025,0.00035304,0.3639,0.715928,False,0.0035,0.0016,0.0592,0.2165,528,False,-0.1359,,,
GOOGL,signal_ensemble,FF3,0.128075,0.00047834,0.4894,0.624566,False,0.0137,0.0081,0.1171,0.2996,528,False,0.0159,-0.0327,0.3898,
GOOGL,signal_ensemble,Carhart4,0.13121,0.00048936,0.5035,0.614608,False,0.0138,0.0062,0.1174,0.307,528,False,0.0196,-0.0363,0.3912,0.0356
GOOGL,signal_rsi_vol_trend_gated,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
GOOGL,signal_rsi_vol_trend_gated,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
GOOGL,signal_rsi_vol_trend_gated,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
GOOGL,signal_zscore_vol_bb_gated,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
GOOGL,signal_zscore_vol_bb_gated,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
GOOGL,signal_zscore_vol_bb_gated,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
GOOGL,signal_macd_trend_gated,CAPM,-0.259065,-0.00118914,-1.2751,0.202269,False,0.1419,0.1228,0.3767,-2.125,47,False,-0.3122,,,
GOOGL,signal_macd_trend_gated,FF3,-0.328308,-0.00157794,-1.9751,0.048261,False,0.1917,0.1353,0.4379,-2.7747,47,False,-0.3342,0.2278,0.0272,
GOOGL,signal_macd_trend_gated,Carhart4,-0.335874,-0.00162282,-1.9136,0.055676,False,0.2023,0.1264,0.4498,-2.8574,47,False,-0.3191,0.2692,-0.0214,-0.2073
GOOGL,signal_bb_breakout_gated,CAPM,-0.050047,-0.00020372,-22.8757,0.0,True,0.0001,-0.0015,0.0094,-14.3365,632,False,-0.0002,,,
GOOGL,signal_bb_breakout_gated,FF3,-0.050069,-0.00020381,-22.7672,0.0,True,0.0003,-0.0044,0.0182,-14.3447,632,False,0.0,-0.0004,0.0004,
GOOGL,signal_bb_breakout_gated,Carhart4,-0.050136,-0.00020409,-22.1962,0.0,True,0.0012,-0.0052,0.0348,-14.3701,632,False,-0.0001,-0.0002,0.0004,-0.0011
GOOGL,signal_mr_pool,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
GOOGL,signal_mr_pool,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
GOOGL,signal_mr_pool,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
GOOGL,signal_trend_pool,CAPM,-0.274313,-0.00127156,-1.4832,0.138028,False,0.1442,0.1264,0.3798,-2.3171,50,False,-0.3135,,,
GOOGL,signal_trend_pool,FF3,-0.331802,-0.00159861,-2.2108,0.02705,True,0.1946,0.1421,0.4411,-2.889,50,False,-0.3377,0.227,0.0273,
GOOGL,signal_trend_pool,Carhart4,-0.336912,-0.00162902,-2.1255,0.033545,True,0.2059,0.1353,0.4537,-2.9542,50,False,-0.3237,0.2675,-0.0232,-0.2095
