ticker,base_signal,gated_signal,base_sharpe,gated_sharpe,sharpe_delta,base_max_drawdown,gated_max_drawdown,max_drawdown_delta,base_total_return,gated_total_return,base_n_trades,gated_n_trades,trade_reduction_pct,low_sample_size,verdict
AAPL,signal_rsi,signal_rsi_vol_trend_gated,-0.2506,-6.614,-6.3633,-0.3816,-0.0204,0.3612,-0.1702,-0.0204,40,1,97.5,True,gating_helped_low_sample
AAPL,signal_zscore,signal_zscore_vol_bb_gated,-0.4601,0.0,0.4601,-0.4901,0.0,0.4901,-0.4628,0.0,28,0,100.0,True,gating_helped_low_sample
AAPL,signal_macd,signal_macd_trend_gated,-0.1858,-1.0644,-0.8786,-0.4059,-0.0377,0.3681,-0.2163,0.0663,108,3,97.2,True,gating_helped_low_sample
AAPL,signal_bb,signal_bb_breakout_gated,-1.8712,-55.2526,-53.3813,-0.0967,-0.0002,0.0965,-0.0478,0.0019,29,1,96.6,True,gating_helped_low_sample
AAPL,signal_ensemble,signal_regime_adaptive,-0.9636,-1.1245,-0.161,-0.6252,-0.0377,0.5875,-0.5916,0.0479,88,5,94.3,True,gating_helped_low_sample
GOOGL,signal_rsi,signal_rsi_vol_trend_gated,-0.2238,0.0,0.2238,-0.2985,0.0,0.2985,-0.0937,0.0,34,0,100.0,True,gating_helped_low_sample
GOOGL,signal_zscore,signal_zscore_vol_bb_gated,-0.1389,-1.4362,-1.2974,-0.3035,-0.0062,0.2972,0.0656,0.058,24,1,95.8,True,gating_helped_low_sample
GOOGL,signal_macd,signal_macd_trend_gated,0.1766,-1.4325,-1.6091,-0.2518,-0.0724,0.1795,0.4486,0.003,100,13,87.0,True,gating_helped_dd_only_low_sample
GOOGL,signal_bb,signal_bb_breakout_gated,-0.8605,-21.6009,-20.7404,-0.1302,-0.007,0.1232,-0.0481,-0.007,29,3,89.7,True,gating_helped_low_sample
GOOGL,signal_ensemble,signal_regime_adaptive,0.0496,-0.9378,-0.9874,-0.4671,-0.0733,0.3937,0.0859,0.054,92,17,81.5,False,gating_helped_but_sharpe_cost
MSFT,signal_rsi,signal_rsi_vol_trend_gated,-0.0476,0.0,0.0476,-0.4675,0.0,0.4675,0.0865,0.0,34,0,100.0,True,gating_helped_dd_only_low_sample
MSFT,signal_zscore,signal_zscore_vol_bb_gated,-0.164,-1.0198,-0.8557,-0.3392,-0.0415,0.2978,-0.0104,0.07,27,6,77.8,True,gating_helped_low_sample
MSFT,signal_macd,signal_macd_trend_gated,-0.568,-2.3385,-1.7706,-0.5452,-0.078,0.4672,-0.3983,-0.0403,104,3,97.1,True,gating_helped_low_sample
MSFT,signal_bb,signal_bb_breakout_gated,-0.4153,-38.4948,-38.0795,-0.1474,-0.0011,0.1463,0.0891,0.001,35,2,94.3,True,gating_helped_dd_only_low_sample
MSFT,signal_ensemble,signal_regime_adaptive,-0.4867,-0.9629,-0.4762,-0.4928,-0.1004,0.3924,-0.3947,0.0308,98,11,88.8,True,gating_helped_low_sample
SPY,signal_rsi,signal_rsi_vol_trend_gated,-0.2526,0.0,0.2526,-0.2719,0.0,0.2719,-0.009,0.0,38,0,100.0,True,gating_helped_low_sample
SPY,signal_zscore,signal_zscore_vol_bb_gated,-0.3793,0.0,0.3793,-0.3982,0.0,0.3982,-0.1854,0.0,32,0,100.0,True,gating_helped_low_sample
SPY,signal_macd,signal_macd_trend_gated,-0.1223,-3.809,-3.6867,-0.2762,-0.0166,0.2596,0.14,0.0063,111,2,98.2,True,gating_helped_dd_only_low_sample
SPY,signal_bb,signal_bb_breakout_gated,-0.4984,-102.2791,-101.7807,-0.0494,-0.0015,0.0479,0.1651,-0.0015,29,1,96.6,True,gating_helped_dd_only_low_sample
SPY,signal_ensemble,signal_regime_adaptive,-0.2372,-3.8274,-3.5901,-0.3387,-0.0181,0.3207,-0.1112,0.0048,100,3,97.0,True,gating_helped_low_sample
^GSPC,signal_rsi,signal_rsi_vol_trend_gated,-0.2735,-9.8832,-9.6097,-0.2726,-0.0135,0.259,-0.0308,-0.0135,38,1,97.4,True,gating_helped_low_sample
^GSPC,signal_zscore,signal_zscore_vol_bb_gated,-0.3852,0.0,0.3852,-0.4079,0.0,0.4079,-0.2046,0.0,29,0,100.0,True,gating_helped_low_sample
^GSPC,signal_macd,signal_macd_trend_gated,-0.1265,-3.8335,-3.707,-0.2763,-0.0155,0.2608,0.1336,0.007,111,2,98.2,True,gating_helped_dd_only_low_sample
^GSPC,signal_bb,signal_bb_breakout_gated,-0.4859,-105.5837,-105.0978,-0.0447,-0.0015,0.0432,0.1941,-0.0015,27,1,96.3,True,gating_helped_dd_only_low_sample
^GSPC,signal_ensemble,signal_regime_adaptive,-0.2394,-3.7305,-3.4911,-0.3438,-0.0302,0.3136,-0.1251,-0.008,101,4,96.0,True,gating_helped_low_sample
