ticker,regime,signal,sharpe,pct_time_in_regime
AAPL,crisis,signal_rsi,1.304,0.15
AAPL,crisis,signal_macd,-0.427,0.263
AAPL,crisis,signal_zscore,0.087,0.259
AAPL,crisis,signal_bb,-0.921,0.224
AAPL,crisis,signal_ensemble,0.088,0.24
AAPL,crisis,signal_rsi_vol_trend_gated,0.0,0.224
AAPL,crisis,signal_zscore_vol_bb_gated,0.0,0.224
AAPL,crisis,signal_macd_trend_gated,0.586,0.224
AAPL,crisis,signal_bb_breakout_gated,0.0,0.224
AAPL,crisis,signal_mr_pool,0.0,0.224
AAPL,crisis,signal_trend_pool,0.586,0.224
AAPL,crisis,signal_regime_adaptive,2.459,0.613
AAPL,crisis,signal_adaptive,-1.614,0.177
AAPL,range_bound,signal_rsi,-0.846,0.064
AAPL,range_bound,signal_macd,3.257,0.068
AAPL,range_bound,signal_zscore,4.579,0.015
AAPL,range_bound,signal_bb,1.189,0.098
AAPL,range_bound,signal_ensemble,1.066,0.074
AAPL,range_bound,signal_rsi_vol_trend_gated,0.0,0.098
AAPL,range_bound,signal_zscore_vol_bb_gated,0.0,0.098
AAPL,range_bound,signal_macd_trend_gated,0.0,0.098
AAPL,range_bound,signal_bb_breakout_gated,0.0,0.098
AAPL,range_bound,signal_mr_pool,0.0,0.098
AAPL,range_bound,signal_trend_pool,0.0,0.098
AAPL,range_bound,signal_regime_adaptive,,0.0
AAPL,range_bound,signal_adaptive,-0.646,0.049
AAPL,trending_down,signal_rsi,0.043,0.168
AAPL,trending_down,signal_macd,2.4,0.158
AAPL,trending_down,signal_zscore,-0.385,0.155
AAPL,trending_down,signal_bb,-0.227,0.195
AAPL,trending_down,signal_ensemble,-2.896,0.181
AAPL,trending_down,signal_rsi_vol_trend_gated,-0.942,0.195
AAPL,trending_down,signal_zscore_vol_bb_gated,0.0,0.195
AAPL,trending_down,signal_macd_trend_gated,0.0,0.195
AAPL,trending_down,signal_bb_breakout_gated,0.859,0.195
AAPL,trending_down,signal_mr_pool,-0.942,0.195
AAPL,trending_down,signal_trend_pool,0.859,0.195
AAPL,trending_down,signal_regime_adaptive,,0.032
AAPL,trending_down,signal_adaptive,1.444,0.172
AAPL,trending_up,signal_rsi,-0.327,0.618
AAPL,trending_up,signal_macd,-0.74,0.511
AAPL,trending_up,signal_zscore,-0.943,0.571
AAPL,trending_up,signal_bb,-0.632,0.483
AAPL,trending_up,signal_ensemble,-1.731,0.505
AAPL,trending_up,signal_rsi_vol_trend_gated,-0.598,0.483
AAPL,trending_up,signal_zscore_vol_bb_gated,0.0,0.483
AAPL,trending_up,signal_macd_trend_gated,0.285,0.483
AAPL,trending_up,signal_bb_breakout_gated,0.0,0.483
AAPL,trending_up,signal_mr_pool,-0.598,0.483
AAPL,trending_up,signal_trend_pool,0.285,0.483
AAPL,trending_up,signal_regime_adaptive,0.045,0.355
AAPL,trending_up,signal_adaptive,-0.762,0.602
GOOGL,crisis,signal_rsi,0.169,0.246
GOOGL,crisis,signal_macd,0.299,0.281
GOOGL,crisis,signal_zscore,0.121,0.359
GOOGL,crisis,signal_bb,,0.022
GOOGL,crisis,signal_ensemble,-0.058,0.296
GOOGL,crisis,signal_rsi_vol_trend_gated,0.0,0.269
GOOGL,crisis,signal_zscore_vol_bb_gated,0.0,0.269
GOOGL,crisis,signal_macd_trend_gated,0.849,0.343
GOOGL,crisis,signal_bb_breakout_gated,-0.875,0.269
GOOGL,crisis,signal_mr_pool,0.0,0.269
GOOGL,crisis,signal_trend_pool,0.543,0.343
GOOGL,crisis,signal_regime_adaptive,0.562,0.33
GOOGL,crisis,signal_adaptive,0.875,0.158
GOOGL,range_bound,signal_rsi,-0.247,0.042
GOOGL,range_bound,signal_macd,0.874,0.064
GOOGL,range_bound,signal_zscore,10.269,0.023
GOOGL,range_bound,signal_bb,-4.164,0.111
GOOGL,range_bound,signal_ensemble,0.736,0.068
GOOGL,range_bound,signal_rsi_vol_trend_gated,0.0,0.086
GOOGL,range_bound,signal_zscore_vol_bb_gated,0.0,0.086
GOOGL,range_bound,signal_macd_trend_gated,-10.643,0.049
GOOGL,range_bound,signal_bb_breakout_gated,0.0,0.086
GOOGL,range_bound,signal_mr_pool,0.0,0.086
GOOGL,range_bound,signal_trend_pool,-10.643,0.048
GOOGL,range_bound,signal_regime_adaptive,-10.639,0.046
GOOGL,range_bound,signal_adaptive,-5.5,0.037
GOOGL,trending_down,signal_rsi,0.827,0.132
GOOGL,trending_down,signal_macd,1.691,0.158
GOOGL,trending_down,signal_zscore,-0.785,0.143
GOOGL,trending_down,signal_bb,,0.067
GOOGL,trending_down,signal_ensemble,1.269,0.155
GOOGL,trending_down,signal_rsi_vol_trend_gated,0.0,0.144
GOOGL,trending_down,signal_zscore_vol_bb_gated,0.0,0.144
GOOGL,trending_down,signal_macd_trend_gated,-0.15,0.275
GOOGL,trending_down,signal_bb_breakout_gated,-0.457,0.144
GOOGL,trending_down,signal_mr_pool,0.0,0.144
GOOGL,trending_down,signal_trend_pool,-0.123,0.276
GOOGL,trending_down,signal_regime_adaptive,-0.066,0.266
GOOGL,trending_down,signal_adaptive,0.626,0.169
